,mainGrid,otherGrids,hourOfDay
136,159.9,143.0,16
137,167.6,153.0,17
138,198.5,180.0,18
139,208.9,184.0,19
140,200.9,183.0,20
141,195.0,178.0,21
142,172.1,164.0,22
143,169.6,153.0,23
144,155.3,142.0,0
145,145.9,126.0,1
146,122.9,115.0,2
147,120.9,112.0,3
148,123.9,110.0,4
149,132.9,116.0,5
150,145.6,124.0,6
151,158.6,143.0,7
152,170.6,160.0,8
153,182.6,168.0,9
154,198.5,184.0,10
155,197.5,178.0,11
156,192.3,180.0,12
157,172.8,160.0,13
158,164.3,148.0,14
159,173.1,153.0,15
160,172.8,157.0,16
161,186.8,167.0,17
162,220.8,202.0,18
163,224.3,206.0,19
164,213.5,195.0,20
165,203.5,182.0,21
166,191.5,170.0,22
167,173.5,152.0,23
168,158.4,141.0,0
169,139.4,136.0,1
170,131.0,121.0,2
171,127.3,113.0,3
172,123.3,110.0,4
173,122.0,114.0,5
174,135.7,119.0,6
175,141.2,130.0,7
176,136.2,134.0,8
177,149.2,135.0,9
178,167.2,154.0,10
179,171.7,154.0,11
180,178.5,166.0,12
181,162.0,148.0,13
182,160.8,145.0,14
183,154.8,145.0,15
184,150.8,142.0,16
185,169.3,156.0,17
186,202.8,186.0,18
187,215.8,201.0,19
188,213.8,194.0,20
189,207.8,186.0,21
190,196.6,175.0,22
191,184.1,162.0,23
192,145.9,143.0,0
193,145.2,132.0,1
194,133.5,118.0,2
195,136.0,115.0,3
196,133.3,115.0,4
197,138.8,124.0,5
198,158.2,140.0,6
199,211.2,190.0,7
200,270.5,247.0,8
201,280.7,261.0,9
202,282.0,255.0,10
203,276.5,252.0,11
204,268.5,243.0,12
205,246.2,226.0,13
206,245.7,227.0,14
207,249.2,232.0,15
208,257.5,243.0,16
209,264.0,247.0,17
210,284.0,265.0,18
211,276.0,257.0,19
212,253.0,233.0,20
213,235.0,216.0,21
214,213.5,194.0,22
215,200.5,186.0,23
216,176.3,178.0,0
217,152.1,153.0,1
218,145.1,137.0,2
219,130.5,127.0,3
220,137.5,137.0,4
221,143.3,135.0,5
222,161.0,151.0,6
223,205.0,196.0,7
224,272.1,239.0,8
225,283.3,264.0,9
226,278.3,262.0,10
227,275.3,257.0,11
228,263.3,247.0,12
229,242.3,227.0,13
230,238.7,221.0,14
231,241.7,226.0,15
232,249.7,229.0,16
233,248.8,234.0,17
234,281.7,265.0,18
235,274.1,255.0,19
236,255.6,232.0,20
237,239.3,225.0,21
238,222.3,212.0,22
239,193.8,174.0,23
240,175.4,167.0,0
241,157.3,149.0,1
242,146.2,133.0,2
243,138.9,129.0,3
244,141.5,134.0,4
245,141.2,130.0,5
246,154.7,150.0,6
247,204.7,191.0,7
248,264.9,247.0,8
249,276.2,253.0,9
250,264.3,248.0,10
251,257.9,246.0,11
252,246.5,230.0,12
253,226.5,211.0,13
254,223.7,207.0,14
255,231.8,220.0,15
256,237.5,225.0,16
257,241.1,230.0,17
258,274.1,258.0,18
259,272.1,252.0,19
260,245.5,231.0,20
261,228.5,211.0,21
262,205.2,202.0,22
263,188.7,172.0,23
264,166.6,155.0,0
265,154.1,142.0,1
266,147.1,128.0,2
267,147.1,128.0,3
268,147.6,124.0,4
269,143.9,127.0,5
270,153.6,144.0,6
271,210.5,191.0,7
272,253.5,239.0,8
273,272.0,256.0,9
274,272.8,254.0,10
275,267.8,248.0,11
276,253.8,235.0,12
277,233.8,215.0,13
278,233.7,218.0,14
279,236.2,223.0,15
280,246.3,229.0,16
281,242.3,233.0,17
282,280.0,260.0,18
283,274.2,261.0,19
284,254.4,243.0,20
285,234.2,217.0,21
286,204.5,196.0,22
287,196.5,184.0,23
288,171.2,162.0,0
289,153.7,140.0,1
290,145.5,134.0,2
291,138.7,128.0,3
292,140.0,128.0,4
293,143.2,128.0,5
294,155.2,143.0,6
295,206.2,195.0,7
296,258.2,247.0,8
297,270.5,258.0,9
298,269.4,257.0,10
299,266.4,255.0,11
300,252.4,241.0,12
301,237.6,219.0,13
302,234.3,221.0,14
303,239.8,226.0,15
304,241.0,228.0,16
305,231.5,226.0,17
306,274.3,257.0,18
307,270.3,256.0,19
308,256.1,238.0,20
309,230.0,220.0,21
310,205.5,193.0,22
311,193.5,181.0,23
312,178.4,164.0,0
313,160.2,148.0,1
314,153.2,141.0,2
315,137.2,129.0,3
316,133.2,129.0,4
317,135.7,125.0,5
318,146.5,133.0,6
319,179.2,170.0,7
320,202.3,191.0,8
321,221.3,211.0,9
322,234.1,222.0,10
323,235.4,213.0,11
324,213.6,201.0,12
325,189.3,183.0,13
326,180.2,172.0,14
327,181.5,165.0,15
328,183.6,167.0,16
329,191.1,173.0,17
330,231.1,212.0,18
331,237.1,219.0,19
332,220.5,205.0,20
333,203.5,190.0,21
334,188.0,172.0,22
335,174.0,160.0,23
336,163.9,143.0,0
337,141.1,131.0,1
338,134.1,124.0,2
339,130.1,117.0,3
340,118.1,112.0,4
341,129.6,115.0,5
342,129.7,124.0,6
343,143.3,132.0,7
344,141.8,131.0,8
345,171.8,148.0,9
346,177.2,172.0,10
347,181.7,170.0,11
348,184.7,172.0,12
349,169.2,163.0,13
350,156.7,146.0,14
351,153.2,141.0,15
352,154.2,143.0,16
353,166.2,155.0,17
354,197.7,184.0,18
355,210.5,197.0,19
356,206.7,194.0,20
357,203.3,190.0,21
358,188.0,176.0,22
359,176.5,164.0,23
360,156.1,146.0,0
361,139.6,148.0,1
362,132.8,122.0,2
363,130.3,118.0,3
364,129.8,117.0,4
365,137.3,126.0,5
366,146.8,145.0,6
367,208.0,192.0,7
368,272.5,250.0,8
369,279.0,263.0,9
370,279.0,261.0,10
371,275.5,262.0,11
372,260.5,249.0,12
373,246.5,230.0,13
374,242.0,225.0,14
375,245.0,230.0,15
376,247.0,231.0,16
377,251.0,235.0,17
378,283.0,268.0,18
379,282.5,266.0,19
380,252.0,236.0,20
381,237.7,219.0,21
382,210.2,194.0,22
383,180.2,173.0,23
384,169.5,149.0,0
385,165.2,153.0,1
386,156.4,136.0,2
387,152.5,137.0,3
388,157.0,135.0,4
389,154.4,146.0,5
390,168.4,154.0,6
391,217.4,194.0,7
392,265.2,244.0,8
393,279.2,260.0,9
394,281.2,257.0,10
395,275.2,252.0,11
396,258.2,239.0,12
397,240.2,218.0,13
398,235.2,219.0,14
399,246.7,226.0,15
400,243.8,230.0,16
401,252.3,228.0,17
402,282.6,258.0,18
403,283.6,258.0,19
404,258.1,230.0,20
405,245.1,220.0,21
406,215.8,199.0,22
407,203.8,184.0,23
408,178.8,161.0,0
409,161.8,146.0,1
410,156.8,136.0,2
411,143.7,125.0,3
412,142.9,128.0,4
413,146.9,132.0,5
414,167.4,143.0,6
415,219.9,195.0,7
416,272.2,243.0,8
417,290.2,263.0,9
418,296.7,267.0,10
419,293.7,269.0,11
420,279.2,252.0,12
421,257.2,228.0,13
422,257.2,228.0,14
423,255.7,241.0,15
424,261.7,240.0,16
425,273.2,249.0,17
426,284.7,265.0,18
427,280.7,259.0,19
428,259.7,238.0,20
429,241.9,224.0,21
430,216.9,198.0,22
431,199.9,185.0,23
432,176.0,166.0,0
433,158.0,145.0,1
434,147.0,129.0,2
435,139.0,124.0,3
436,141.0,126.0,4
437,148.5,138.0,5
438,160.0,148.0,6
439,210.0,192.0,7
440,266.3,244.0,8
441,277.3,251.0,9
442,277.8,255.0,10
443,269.3,254.0,11
444,266.3,245.0,12
445,236.8,228.0,13
446,241.8,217.0,14
447,242.8,224.0,15
448,250.8,226.0,16
449,250.8,228.0,17
450,287.8,261.0,18
451,281.3,258.0,19
452,264.3,235.0,20
453,251.8,219.0,21
454,219.0,192.0,22
455,194.0,174.0,23
456,172.1,165.0,0
457,151.0,140.0,1
458,144.5,132.0,2
459,138.5,132.0,3
460,142.0,132.0,4
461,144.0,132.0,5
462,157.5,148.0,6
463,215.5,193.0,7
464,265.2,238.0,8
465,286.7,267.0,9
466,286.7,266.0,10
467,287.2,259.0,11
468,274.7,246.0,12
469,253.4,232.0,13
470,251.9,232.0,14
471,249.9,234.0,15
472,260.9,234.0,16
473,259.4,234.0,17
474,285.4,260.0,18
475,285.4,259.0,19
476,259.4,234.0,20
477,232.9,211.0,21
478,212.9,194.0,22
479,198.2,183.0,23
480,179.0,163.0,0
481,152.2,148.0,1
482,148.7,134.0,2
483,129.7,123.0,3
484,134.0,123.0,4
485,140.4,125.0,5
486,149.4,138.0,6
487,209.2,168.0,7
488,205.4,192.0,8
489,226.4,211.0,9
490,230.0,219.0,10
491,224.6,209.0,11
492,217.8,199.0,12
493,198.0,180.0,13
494,186.5,168.0,14
495,182.0,164.0,15
496,183.2,169.0,16
497,189.2,171.0,17
498,227.0,213.0,18
499,241.0,219.0,19
500,220.0,201.0,20
501,206.0,189.0,21
502,188.0,172.0,22
503,173.8,156.0,23
504,163.7,141.0,0
505,140.4,124.0,1
506,130.9,113.0,2
507,131.1,111.0,3
508,127.1,107.0,4
509,126.8,112.0,5
510,134.2,117.0,6
511,143.3,125.0,7
512,147.2,136.0,8
513,161.2,146.0,9
514,181.2,161.0,10
515,191.2,170.0,11
516,192.2,179.0,12
517,174.6,159.0,13
518,165.8,157.0,14
519,165.0,147.0,15
520,163.5,145.0,16
521,169.0,160.0,17
522,203.0,185.0,18
523,212.0,193.0,19
524,211.8,195.0,20
525,210.8,189.0,21
526,188.8,174.0,22
527,179.5,157.0,23
528,158.6,137.0,0
529,142.5,121.0,1
530,134.6,115.0,2
531,128.6,118.0,3
532,130.1,111.0,4
533,133.1,122.0,5
534,150.5,144.0,6
535,215.1,188.0,7
536,265.6,243.0,8
537,282.6,260.0,9
538,282.1,259.0,10
539,278.4,256.0,11
540,264.9,240.0,12
541,245.4,220.0,13
542,251.4,224.0,14
543,250.8,227.0,15
544,253.0,231.0,16
545,257.9,231.0,17
546,282.1,256.0,18
547,279.0,249.0,19
548,258.0,229.0,20
549,244.8,216.0,21
550,213.2,190.0,22
551,195.8,178.0,23
552,178.0,153.0,0
553,161.1,138.0,1
554,154.1,130.0,2
555,141.6,124.0,3
556,149.3,127.0,4
557,148.0,132.0,5
558,157.0,152.0,6
559,216.8,190.0,7
560,259.8,230.0,8
561,272.8,252.0,9
562,269.7,249.0,10
563,267.2,245.0,11
564,260.7,235.0,12
565,240.2,214.0,13
566,240.2,216.0,14
567,245.2,220.0,15
568,246.7,221.0,16
569,251.7,225.0,17
570,280.7,262.0,18
571,277.7,253.0,19
572,256.4,232.0,20
573,240.5,215.0,21
574,214.5,196.0,22
575,202.7,188.0,23
576,180.1,165.0,0
577,160.3,145.0,1
578,147.4,130.0,2
579,141.4,131.0,3
580,141.9,129.0,4
581,145.7,133.0,5
582,159.0,147.0,6
583,216.0,189.0,7
584,260.3,236.0,8
585,282.4,254.0,9
586,278.4,250.0,10
587,278.4,243.0,11
588,276.4,228.0,12
589,245.2,219.0,13
590,243.7,218.0,14
591,241.7,217.0,15
592,240.7,219.0,16
593,240.3,220.0,17
594,279.8,251.0,18
595,284.8,258.0,19
596,253.8,231.0,20
597,237.8,211.0,21
598,208.5,189.0,22
599,196.0,175.0,23
600,180.9,158.0,0
601,164.9,141.0,1
602,140.9,127.0,2
603,139.9,123.0,3
604,138.9,121.0,4
605,155.2,127.0,5
606,157.4,140.0,6
607,204.2,181.0,7
608,267.7,246.0,8
609,278.7,257.0,9
610,279.2,258.0,10
611,274.2,256.0,11
612,263.1,245.0,12
613,243.6,225.0,13
614,243.8,233.0,14
615,248.8,233.0,15
616,255.0,238.0,16
617,259.0,237.0,17
618,283.9,261.0,18
619,272.8,250.0,19
620,262.6,240.0,20
621,242.9,216.0,21
622,213.9,190.0,22
623,200.4,179.0,23
624,172.7,162.0,0
625,156.4,138.0,1
626,141.9,128.0,2
627,139.9,120.0,3
628,143.4,125.0,4
629,143.9,127.0,5
630,159.9,139.0,6
631,225.7,190.0,7
632,257.7,231.0,8
633,274.4,251.0,9
634,271.0,243.0,10
635,265.6,240.0,11
636,258.1,226.0,12
637,235.9,211.0,13
638,230.9,208.0,14
639,235.5,212.0,15
640,237.0,215.0,16
641,238.7,216.0,17
642,275.2,252.0,18
643,277.7,254.0,19
644,257.9,231.0,20
645,238.1,211.0,21
646,207.4,193.0,22
647,204.0,183.0,23
648,176.4,150.0,0
649,157.4,139.0,1
650,142.9,127.0,2
651,137.9,122.0,3
652,141.4,122.0,4
653,144.9,126.0,5
654,151.4,130.0,6
655,186.2,186.0,7
656,204.2,188.0,8
657,221.2,205.0,9
658,232.2,214.0,10
659,226.3,202.0,11
660,207.2,193.0,12
661,193.7,171.0,13
662,180.8,162.0,14
663,180.3,163.0,15
664,184.5,162.0,16
665,188.5,169.0,17
666,223.5,202.0,18
667,231.5,211.0,19
668,218.5,205.0,20
669,198.5,188.0,21
670,186.5,164.0,22
671,172.0,152.0,23
672,161.0,138.0,0
673,150.9,127.0,1
674,146.8,121.0,2
675,128.9,111.0,3
676,129.6,108.0,4
677,133.1,110.0,5
678,140.2,114.0,6
679,148.2,123.0,7
680,138.0,118.0,8
681,159.0,143.0,9
682,173.5,158.0,10
683,174.0,160.0,11
684,174.0,155.0,12
685,161.2,149.0,13
686,156.2,142.0,14
687,149.7,134.0,15
688,150.3,134.0,16
689,145.8,137.0,17
690,193.3,175.0,18
691,207.8,190.0,19
692,204.8,187.0,20
693,194.8,179.0,21
694,179.3,164.0,22
695,179.3,156.0,23
696,166.5,137.0,0
697,145.2,121.0,1
698,135.5,113.0,2
699,133.5,113.0,3
700,132.5,115.0,4
701,138.5,120.0,5
702,161.8,137.0,6
703,231.0,189.0,7
704,248.6,228.0,8
705,266.3,246.0,9
706,272.3,247.0,10
707,268.3,241.0,11
708,248.8,232.0,12
709,240.3,220.0,13
710,235.3,213.0,14
711,240.3,214.0,15
712,241.8,216.0,16
713,239.1,213.0,17
714,270.8,249.0,18
715,273.8,254.0,19
716,260.9,233.0,20
717,234.8,212.0,21
718,206.5,191.0,22
719,182.0,164.0,23
720,170.6,148.0,0
721,155.1,132.0,1
722,142.4,124.0,2
723,139.9,123.0,3
724,137.2,120.0,4
725,142.0,124.0,5
726,164.0,144.0,6
727,217.5,190.0,7
728,255.3,230.0,8
729,275.5,248.0,9
730,275.8,252.0,10
731,265.8,239.0,11
732,252.8,229.0,12
733,231.8,207.0,13
734,239.0,215.0,14
735,239.5,214.0,15
736,237.5,213.0,16
737,238.0,205.0,17
738,273.5,253.0,18
739,274.3,248.0,19
740,256.3,232.0,20
741,242.4,212.0,21
742,207.5,191.0,22
743,195.0,182.0,23
744,175.0,169.0,0
745,152.0,136.0,1
746,147.7,129.0,2
747,144.7,129.0,3
748,145.4,126.0,4
749,141.9,129.0,5
750,156.4,154.0,6
751,216.9,190.0,7
752,260.7,233.0,8
753,280.7,247.0,9
754,273.2,247.0,10
755,264.2,236.0,11
756,255.2,230.0,12
757,239.2,212.0,13
758,235.2,211.0,14
759,240.7,219.0,15
760,237.7,218.0,16
761,239.3,215.0,17
762,272.8,248.0,18
763,270.1,248.0,19
764,248.3,229.0,20
765,235.3,208.0,21
766,210.8,192.0,22
767,198.3,183.0,23
768,171.6,154.0,0
769,159.3,142.0,1
770,143.4,126.0,2
771,138.4,125.0,3
772,149.4,132.0,4
773,145.4,134.0,5
774,164.4,149.0,6
775,213.9,195.0,7
776,258.0,237.0,8
777,286.0,265.0,9
778,283.0,260.0,10
779,272.5,250.0,11
780,262.0,242.0,12
781,241.0,215.0,13
782,242.0,219.0,14
783,243.0,223.0,15
784,246.5,222.0,16
785,244.5,217.0,17
786,279.0,252.0,18
787,272.0,253.0,19
788,255.0,228.0,20
789,236.5,217.0,21
790,209.5,191.0,22
791,198.0,182.0,23
792,177.2,155.0,0
793,162.2,146.0,1
794,144.7,128.0,2
795,141.7,124.0,3
796,146.2,129.0,4
797,150.2,132.0,5
798,156.7,142.0,6
799,214.7,193.0,7
800,251.2,232.0,8
801,273.7,247.0,9
802,269.7,250.0,10
803,269.2,249.0,11
804,252.7,239.0,12
805,233.7,212.0,13
806,234.7,212.0,14
807,239.2,217.0,15
808,243.2,220.0,16
809,241.2,216.0,17
810,274.7,252.0,18
811,269.7,245.0,19
812,256.7,230.0,20
813,229.7,209.0,21
814,207.2,187.0,22
815,196.7,178.0,23
816,175.5,159.0,0
817,153.0,134.0,1
818,146.5,126.0,2
819,138.5,125.0,3
820,143.5,122.0,4
821,143.0,127.0,5
822,155.5,138.0,6
823,202.0,182.0,7
824,202.5,187.0,8
825,221.5,204.0,9
826,232.5,218.0,10
827,226.0,210.0,11
828,214.0,196.0,12
829,195.5,177.0,13
830,175.5,163.0,14
831,179.0,172.0,15
832,181.5,164.0,16
833,180.0,165.0,17
834,226.5,208.0,18
835,227.5,207.0,19
836,222.5,201.0,20
837,205.5,185.0,21
838,185.0,170.0,22
839,169.5,154.0,23
840,155.4,141.0,0
841,142.4,125.0,1
842,133.4,114.0,2
843,125.4,110.0,3
844,116.4,108.0,4
845,128.4,110.0,5
846,134.9,118.0,6
847,139.4,125.0,7
848,143.9,123.0,8
849,161.9,134.0,9
850,177.3,161.0,10
851,181.8,165.0,11
852,178.8,165.0,12
853,164.8,142.0,13
854,152.3,138.0,14
855,152.3,135.0,15
856,144.3,130.0,16
857,150.3,134.0,17
858,184.8,167.0,18
859,200.8,184.0,19
860,200.3,184.0,20
861,197.8,178.0,21
862,183.3,166.0,22
863,175.3,152.0,23
864,157.2,134.0,0
865,138.7,121.0,1
866,126.7,111.0,2
867,129.7,110.0,3
868,131.2,110.0,4
869,140.2,124.0,5
870,154.2,133.0,6
871,216.2,190.0,7
872,250.1,227.0,8
873,275.1,246.0,9
874,276.8,250.0,10
875,259.8,237.0,11
876,254.3,234.0,12
877,220.3,215.0,13
878,239.3,214.0,14
879,235.0,212.0,15
880,245.0,220.0,16
881,239.0,212.0,17
882,273.0,250.0,18
883,270.0,247.0,19
884,247.0,223.0,20
885,239.0,215.0,21
886,207.0,186.0,22
887,192.0,172.0,23
888,166.5,152.0,0
889,151.2,132.0,1
890,140.9,126.0,2
891,139.7,120.0,3
892,145.2,122.0,4
893,146.5,135.0,5
894,166.5,147.0,6
895,219.5,191.0,7
896,252.0,228.0,8
897,270.0,245.0,9
898,269.5,244.0,10
899,268.5,240.0,11
900,258.5,230.0,12
901,235.5,209.0,13
902,234.5,217.0,14
903,236.5,213.0,15
904,243.5,214.0,16
905,240.5,212.0,17
906,280.0,255.0,18
907,275.5,250.0,19
908,251.0,228.0,20
909,231.5,213.0,21
910,209.5,194.0,22
911,201.5,187.0,23
912,178.3,159.0,0
913,159.4,138.0,1
914,140.5,128.0,2
915,147.5,131.0,3
916,141.0,125.0,4
917,143.8,128.0,5
918,160.3,142.0,6
919,218.3,199.0,7
920,262.3,234.0,8
921,287.3,256.0,9
922,286.3,259.0,10
923,269.3,254.0,11
924,264.3,238.0,12
925,247.8,223.0,13
926,241.8,221.0,14
927,253.8,223.0,15
928,252.8,228.0,16
929,255.3,227.0,17
930,270.8,246.0,18
931,280.3,254.0,19
932,258.8,236.0,20
933,241.8,212.0,21
934,208.8,191.0,22
935,182.3,173.0,23
936,175.0,152.0,0
937,153.0,132.0,1
938,143.5,126.0,2
939,140.5,124.0,3
940,137.0,120.0,4
941,147.5,132.0,5
942,159.0,140.0,6
943,215.0,184.0,7
944,259.0,231.0,8
945,280.0,255.0,9
946,283.0,261.0,10
947,271.5,247.0,11
948,256.5,235.0,12
949,238.5,214.0,13
950,237.0,215.0,14
951,238.0,212.0,15
952,245.0,220.0,16
953,240.5,214.0,17
954,270.0,240.0,18
955,275.0,245.0,19
956,253.0,226.0,20
957,236.0,215.0,21
958,209.7,192.0,22
959,201.7,182.0,23
960,175.5,161.0,0
961,158.0,136.0,1
962,140.9,125.0,2
963,147.1,127.0,3
964,150.6,134.0,4
965,149.9,130.0,5
966,166.4,143.0,6
967,213.9,191.0,7
968,255.4,227.0,8
969,279.9,260.0,9
970,279.4,252.0,10
971,275.4,251.0,11
972,263.4,238.0,12
973,245.4,226.0,13
974,237.2,214.0,14
975,240.7,213.0,15
976,242.4,217.0,16
977,239.9,216.0,17
978,277.7,252.0,18
979,274.8,256.0,19
980,250.8,240.0,20
981,232.8,211.0,21
982,208.3,192.0,22
983,194.8,177.0,23
984,181.7,157.0,0
985,171.2,143.0,1
986,148.2,130.0,2
987,138.7,116.0,3
988,137.2,121.0,4
989,140.2,119.0,5
990,148.7,132.0,6
991,173.2,162.0,7
992,204.7,189.0,8
993,224.2,204.0,9
994,232.2,199.0,10
995,231.2,212.0,11
996,220.2,202.0,12
997,195.7,182.0,13
998,188.2,166.0,14
999,183.2,167.0,15
1000,192.2,169.0,16
1001,192.2,172.0,17
1002,229.7,213.0,18
1003,232.7,212.0,19
1004,219.2,198.0,20
1005,211.2,189.0,21
1006,191.2,171.0,22
1007,179.7,156.0,23
1008,158.3,131.0,0
1009,149.8,129.0,1
1010,130.8,116.0,2
1011,127.3,107.0,3
1012,127.3,106.0,4
1013,135.8,114.0,5
1014,132.3,113.0,6
1015,144.3,127.0,7
1016,137.3,119.0,8
1017,163.3,142.0,9
1018,174.3,152.0,10
1019,185.8,163.0,11
1020,182.3,163.0,12
1021,171.3,150.0,13
1022,157.3,140.0,14
1023,156.8,139.0,15
1024,149.8,132.0,16
1025,148.8,133.0,17
1026,178.8,163.0,18
1027,208.8,189.0,19
1028,209.3,187.0,20
1029,201.8,183.0,21
1030,190.8,178.0,22
1031,175.3,158.0,23
1032,160.3,143.0,0
1033,139.3,124.0,1
1034,136.8,114.0,2
1035,121.1,109.0,3
1036,130.3,109.0,4
1037,135.8,118.0,5
1038,162.1,137.0,6
1039,204.8,183.0,7
1040,253.5,225.0,8
1041,275.5,250.0,9
1042,277.7,252.0,10
1043,278.7,250.0,11
1044,270.7,243.0,12
1045,256.7,233.0,13
1046,249.2,232.0,14
1047,257.0,239.0,15
1048,269.3,245.0,16
1049,246.8,236.0,17
1050,277.8,251.0,18
1051,274.8,247.0,19
1052,255.3,230.0,20
1053,233.3,214.0,21
1054,206.8,191.0,22
1055,196.3,176.0,23
1056,176.8,152.0,0
1057,154.5,133.0,1
1058,147.3,127.0,2
1059,137.3,116.0,3
1060,135.8,116.0,4
1061,149.8,133.0,5
1062,170.3,143.0,6
1063,208.3,195.0,7
1064,248.3,225.0,8
1065,273.8,252.0,9
1066,270.3,248.0,10
1067,264.3,241.0,11
1068,255.9,233.0,12
1069,237.4,217.0,13
1070,231.4,212.0,14
1071,237.9,215.0,15
1072,238.8,215.0,16
1073,232.8,212.0,17
1074,250.8,228.0,18
1075,280.8,250.0,19
1076,247.8,227.0,20
1077,236.8,213.0,21
1078,210.8,187.0,22
1079,193.8,173.0,23
1080,182.2,168.0,0
1081,151.2,137.0,1
1082,148.2,126.0,2
1083,144.2,126.0,3
1084,145.1,126.0,4
1085,152.6,132.0,5
1086,166.1,145.0,6
1087,214.6,187.0,7
1088,251.6,218.0,8
1089,267.1,241.0,9
1090,270.1,243.0,10
1091,267.1,244.0,11
1092,256.1,232.0,12
1093,232.6,213.0,13
1094,235.1,213.0,14
1095,229.1,213.0,15
1096,238.1,217.0,16
1097,233.4,210.0,17
1098,255.1,225.0,18
1099,269.1,248.0,19
1100,251.1,228.0,20
1101,233.6,209.0,21
1102,211.1,187.0,22
1103,200.6,187.0,23
1104,176.6,159.0,0
1105,159.6,144.0,1
1106,143.6,129.0,2
1107,141.6,125.0,3
1108,140.1,122.0,4
1109,148.1,129.0,5
1110,167.9,146.0,6
1111,210.4,201.0,7
1112,249.1,224.0,8
1113,266.9,249.0,9
1114,267.9,246.0,10
1115,261.6,241.0,11
1116,245.6,232.0,12
1117,233.9,211.0,13
1118,236.1,212.0,14
1119,235.1,207.0,15
1120,237.1,213.0,16
1121,230.6,211.0,17
1122,242.6,221.0,18
1123,268.6,246.0,19
1124,247.1,225.0,20
1125,234.1,210.0,21
1126,208.6,187.0,22
1127,191.1,179.0,23
1128,170.1,156.0,0
1129,153.6,136.0,1
1130,150.3,132.0,2
1131,143.8,120.0,3
1132,142.9,123.0,4
1133,143.1,124.0,5
1134,155.6,141.0,6
1135,208.6,188.0,7
1136,238.6,215.0,8
1137,259.6,237.0,9
1138,262.1,237.0,10
1139,251.1,228.0,11
1140,237.6,221.0,12
1141,228.6,207.0,13
1142,225.1,205.0,14
1143,230.1,211.0,15
1144,234.1,213.0,16
1145,234.1,214.0,17
1146,237.6,221.0,18
1147,267.1,243.0,19
1148,249.1,223.0,20
1149,227.1,209.0,21
